5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493578,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493577,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493576,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493575,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493582,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493581,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493580,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493579,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493578,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493577,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493576,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493575,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493582,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493581,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493580,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493579,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493578,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493577,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493576,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493575,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493582,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493581,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493580,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493579,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493578,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493577,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493576,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493575,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493582,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493581,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493580,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493579,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493578,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493577,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493576,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493575,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493582,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493581,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493580,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493579,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493578,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493577,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493576,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493575,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
4672,Mon May 15 15:37:30 2023,SYSTEM,Leks-PK,12548,Microsoft-Windows-Security-Auditing,493584,EVENTLOG_AUDIT_SUCCESS,Новому сеансу входа назначены специальные привилегии.
4624,Mon May 15 15:37:30 2023,LEKS-PK$,Leks-PK,12544,Microsoft-Windows-Security-Auditing,493583,EVENTLOG_AUDIT_SUCCESS,Вход в учетную запись выполнен успешно.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493582,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493581,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493580,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493579,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493578,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
4672,Mon May 15 15:37:30 2023,SYSTEM,Leks-PK,12548,Microsoft-Windows-Security-Auditing,493584,EVENTLOG_AUDIT_SUCCESS,Новому сеансу входа назначены специальные привилегии.
4624,Mon May 15 15:37:30 2023,LEKS-PK$,Leks-PK,12544,Microsoft-Windows-Security-Auditing,493583,EVENTLOG_AUDIT_SUCCESS,Вход в учетную запись выполнен успешно.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493582,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493581,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493580,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493579,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493578,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
4672,Mon May 15 15:37:30 2023,SYSTEM,Leks-PK,12548,Microsoft-Windows-Security-Auditing,493584,EVENTLOG_AUDIT_SUCCESS,Новому сеансу входа назначены специальные привилегии.
4624,Mon May 15 15:37:30 2023,LEKS-PK$,Leks-PK,12544,Microsoft-Windows-Security-Auditing,493583,EVENTLOG_AUDIT_SUCCESS,Вход в учетную запись выполнен успешно.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493582,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493581,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493580,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493579,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493578,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
4672,Mon May 15 15:37:30 2023,SYSTEM,Leks-PK,12548,Microsoft-Windows-Security-Auditing,493584,EVENTLOG_AUDIT_SUCCESS,Новому сеансу входа назначены специальные привилегии.
4624,Mon May 15 15:37:30 2023,LEKS-PK$,Leks-PK,12544,Microsoft-Windows-Security-Auditing,493583,EVENTLOG_AUDIT_SUCCESS,Вход в учетную запись выполнен успешно.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493582,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493581,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493580,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493579,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493578,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
4672,Mon May 15 15:37:30 2023,SYSTEM,Leks-PK,12548,Microsoft-Windows-Security-Auditing,493584,EVENTLOG_AUDIT_SUCCESS,Новому сеансу входа назначены специальные привилегии.
4624,Mon May 15 15:37:30 2023,LEKS-PK$,Leks-PK,12544,Microsoft-Windows-Security-Auditing,493583,EVENTLOG_AUDIT_SUCCESS,Вход в учетную запись выполнен успешно.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493582,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493581,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493580,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493579,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493578,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
4672,Mon May 15 15:37:30 2023,SYSTEM,Leks-PK,12548,Microsoft-Windows-Security-Auditing,493584,EVENTLOG_AUDIT_SUCCESS,Новому сеансу входа назначены специальные привилегии.
4624,Mon May 15 15:37:30 2023,LEKS-PK$,Leks-PK,12544,Microsoft-Windows-Security-Auditing,493583,EVENTLOG_AUDIT_SUCCESS,Вход в учетную запись выполнен успешно.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493582,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493581,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493580,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493579,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493578,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
4672,Mon May 15 15:37:30 2023,SYSTEM,Leks-PK,12548,Microsoft-Windows-Security-Auditing,493584,EVENTLOG_AUDIT_SUCCESS,Новому сеансу входа назначены специальные привилегии.
4624,Mon May 15 15:37:30 2023,LEKS-PK$,Leks-PK,12544,Microsoft-Windows-Security-Auditing,493583,EVENTLOG_AUDIT_SUCCESS,Вход в учетную запись выполнен успешно.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493582,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493581,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493580,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493579,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493578,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
4672,Mon May 15 15:37:30 2023,SYSTEM,Leks-PK,12548,Microsoft-Windows-Security-Auditing,493584,EVENTLOG_AUDIT_SUCCESS,Новому сеансу входа назначены специальные привилегии.
4624,Mon May 15 15:37:30 2023,LEKS-PK$,Leks-PK,12544,Microsoft-Windows-Security-Auditing,493583,EVENTLOG_AUDIT_SUCCESS,Вход в учетную запись выполнен успешно.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493582,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493581,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493580,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493579,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493578,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
4672,Mon May 15 15:37:30 2023,SYSTEM,Leks-PK,12548,Microsoft-Windows-Security-Auditing,493584,EVENTLOG_AUDIT_SUCCESS,Новому сеансу входа назначены специальные привилегии.
4624,Mon May 15 15:37:30 2023,LEKS-PK$,Leks-PK,12544,Microsoft-Windows-Security-Auditing,493583,EVENTLOG_AUDIT_SUCCESS,Вход в учетную запись выполнен успешно.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493582,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493581,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493580,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493579,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493578,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
4672,Mon May 15 15:37:30 2023,SYSTEM,Leks-PK,12548,Microsoft-Windows-Security-Auditing,493584,EVENTLOG_AUDIT_SUCCESS,Новому сеансу входа назначены специальные привилегии.
4624,Mon May 15 15:37:30 2023,LEKS-PK$,Leks-PK,12544,Microsoft-Windows-Security-Auditing,493583,EVENTLOG_AUDIT_SUCCESS,Вход в учетную запись выполнен успешно.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493582,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493581,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493580,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493579,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
5379,Mon May 15 15:22:18 2023,Lex,Leks-PK,13824,Microsoft-Windows-Security-Auditing,493578,EVENTLOG_AUDIT_SUCCESS,Учетные данные диспетчера учетных данных прочитаны.
